,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
708,Quadro FX 5800,workstation,3.16,Tesla 2.0,2008,157 USD,189 W
709,Mobility Radeon HD 4870 X2,notebook,3.15,Terascale 1,2009,305 USD,−
710,GeForce GTX 775M Mac Edition,desktop,3.14,Kepler,2013,149 USD,100 W
711,GeForce GT 650M,notebook,3.11,Kepler,2012,679 USD,45 W
712,GeForce GTX 295,desktop,3.11,Tesla 2.0,2009,200 USD,289 W
713,Radeon HD 7730,desktop,3.11,GCN 1.0,2013,207 USD,47 W
714,Radeon R9 M270X,desktop,3.11,GCN 1.0,2014,−,−
715,GeForce 9800M GTX SLI,notebook,3.10,G9x,2008,149 USD,150 W
716,HD Graphics P630,desktop,3.09,Gen. 9.5 Kaby Lake,2016,1449 USD,15 W
717,HD Graphics 630,desktop,3.09,Gen. 9.5 Kaby Lake,2017,370 USD,15 W
718,GRID K340,workstation,3.08,Kepler,2013,99 USD,225 W
719,UHD Graphics 630,desktop,3.08,Gen. 9.5,2017,457 USD,15 W
720,Radeon HD 7750M,notebook,3.07,GCN,2012,338 USD,36 W
721,Iris Graphics 540,notebook,3.05,Gen. 9 Skylake,2015,1043 USD,15 W
722,Radeon R7 512 Cores (Kaveri Desktop),desktop,3.05,GCN,2014,−,−
723,Hainan,desktop,3.05,Sea Islands,−,23 USD,−
724,NVS 810,workstation,3.04,Maxwell,2015,848 USD,68 W
725,GeForce 840A,desktop,3.04,Maxwell,2014,−,33 W
726,GeForce GT 640,desktop,3.04,Kepler,2012,157 USD,65 W
727,UHD Graphics G1 (Ice Lake 32 EU),notebook,3.03,Gen. 11 Ice Lake,2019,−,12 W
728,GeForce GTX 460 OEM,desktop,3.03,Fermi,2010,99 USD,150 W
729,UHD Graphics Xe 750 32EUs (Rocket Lake),desktop,3.03,Gen. 12,2021,−,−
730,Quadro M500M,mobile workstation,3.03,Maxwell,2015,775 USD,30 W
731,Radeon RX Vega 6 (Ryzen 2000/3000),notebook,3.03,Vega,2018,−,15 W
732,FireStream 9250,desktop,3.00,TeraScale,2008,−,150 W
733,FirePro W4190M,mobile workstation,3.00,GCN,2015,4205 USD,−
734,Quadro K620M,mobile workstation,3.00,Maxwell,2015,−,30 W
735,Radeon HD 5750,desktop,3.00,TeraScale 2,2009,189 USD,86 W
736,Iris Pro Graphics 5200,notebook,2.98,Gen. 7.5 Haswell,2013,1086 USD,30 W
737,Radeon RX Vega 3,notebook,2.97,Vega,2018,371 USD,15 W
738,Mobility Radeon HD 5870,notebook,2.95,Terascale 2,2010,108 USD,50 W
739,Radeon HD 8770M,notebook,2.94,GCN,2012,338 USD,−
740,GeForce 830A,desktop,2.94,Maxwell,2014,−,33 W
741,Radeon R9 M265X,notebook,2.93,GCN,2014,−,−
742,Radeon HD 4850 X2,desktop,2.92,TeraScale,2008,−,250 W
743,GeForce 940M,notebook,2.90,Maxwell,2015,879 USD,25 W
744,FirePro M4170,workstation,2.89,GCN 1.0,2015,474 USD,−
745,Radeon R9 M275,notebook,2.88,GCN,2014,912 USD,−
746,Radeon 610M,notebook,2.87,RDNA 2,2022,−,15 W
747,Radeon R6 M340DX,notebook,2.86,GCN,2015,−,−
748,GeForce 940A,desktop,2.86,Maxwell,2015,−,33 W
749,GeForce GT 545,desktop,2.84,Fermi 2.0,2011,195 USD,70 W
750,Radeon R7 M465,notebook,2.83,GCN,2017,−,−
751,GeForce GT 745M,notebook,2.82,Kepler,2013,55 USD,25 W
752,Radeon R7 M350,desktop,2.82,GCN 3.0,2015,−,35 W
753,Radeon R7 M460,notebook,2.81,GCN,2016,900 USD,−
754,Quadro K1100M,mobile workstation,2.81,Kepler,2013,350 USD,45 W
755,GeForce 840M,notebook,2.80,Maxwell,2014,743 USD,33 W
756,Radeon 625,notebook,2.80,GCN 1.0,2019,68 USD,50 W
757,GeForce 920MX,notebook,2.78,Maxwell,2015,1597 USD,16 W
758,HD Graphics P530,notebook,2.77,Gen. 9 Skylake,2015,895 USD,15 W
759,Radeon R7 250,desktop,2.77,GCN,2013,256 USD,65 W
760,Radeon HD 8550G + HD 8750M Dual Graphics,notebook,2.75,,2013,105 USD,−
761,Qualcomm Adreno 680,notebook,2.74,,2018,−,7 W
762,FirePro M4100,mobile workstation,2.73,GCN,2013,−,−
763,Radeon R7 384 Cores (Kaveri Desktop),desktop,2.72,GCN,2014,−,−
764,Radeon HD 7670A,desktop,2.71,TeraScale 2,2012,−,45 W
765,GeForce GTX 850A,desktop,2.71,Maxwell,2014,−,45 W
766,Radeon HD 6750,desktop,2.69,TeraScale 2,2011,161 USD,86 W
767,Radeon HD 8650G + HD 8670M Dual Graphics,notebook,2.69,,2013,90 USD,−
768,FirePro W4170M,mobile workstation,2.67,GCN,2012,495 USD,−
769,Qualcomm Adreno 685,notebook,2.67,,2018,1429 USD,7 W
770,Radeon R5 430 OEM,desktop,2.66,GCN 1.0,2016,−,50 W
771,UHD Graphics 620,notebook,2.66,Gen. 9.5,2017,706 USD,15 W
772,Radeon HD 4850,desktop,2.65,Terascale 1,2008,138 USD,110 W
773,Radeon R9 A375,desktop,2.64,GCN 1.0,2015,−,−
774,Quadro 3000M,mobile workstation,2.63,Fermi,2011,447 USD,75 W
775,Quadro K2000M,mobile workstation,2.61,Kepler,2012,92 USD,55 W
776,Radeon 530,notebook,2.61,GCN,2017,627 USD,50 W
777,GeForce 930M,notebook,2.61,Maxwell,2015,160 USD,12 W
778,Radeon HD 7690M XT,notebook,2.60,Terascale 2,2011,180 USD,25 W
779,GeForce 830M,notebook,2.59,Maxwell,2014,160 USD,33 W
780,Radeon HD 7690M,notebook,2.59,Terascale 2,2011,338 USD,20 W
781,HD Graphics 530,notebook,2.58,Gen. 9 Skylake,2015,526 USD,15 W
782,Radeon R7 M260X,notebook,2.57,GCN,2014,−,−
783,Radeon R7 A265,desktop,2.56,GCN 1.0,2014,324 USD,−
784,Quadro FX 4800,workstation,2.56,Tesla 2.0,2008,632 USD,150 W
785,FirePro V4900,workstation,2.55,TeraScale 2,2011,155 USD,75 W
786,Radeon HD 8690M,notebook,2.54,GCN,2012,596 USD,−
787,Radeon R9 M375,notebook,2.53,GCN,2015,1699 USD,−
788,Radeon HD 8750M,notebook,2.52,GCN,2012,338 USD,−
789,UHD Graphics G7 (Lakefield GT2 64 EU),notebook,2.52,Gen. 11 Ice Lake,2020,−,7 W
790,Quadro 2000D,workstation,2.51,Fermi,2011,151 USD,62 W
791,Radeon HD 8850M,notebook,2.51,GCN,2012,338 USD,−
792,Radeon HD 6770M,notebook,2.49,Terascale 2,2011,243 USD,35 W
793,Radeon R7 M270DX,desktop,2.48,GCN 3.0,2014,−,−
794,Quadro 2000,workstation,2.44,Fermi,2010,141 USD,62 W
795,Quadro CX,workstation,2.44,Tesla 2.0,2008,18 USD,150 W
796,FirePro M4150,workstation,2.44,GCN 1.0,2013,170 USD,−
797,Radeon R5 (Bristol Ridge),notebook,2.44,GCN 1.2/2.0,2016,53 USD,12 W
798,Radeon R7 M445,notebook,2.43,GCN,2016,809 USD,15 W
799,Radeon HD 6750M,notebook,2.42,Terascale 2,2011,506 USD,35 W
800,HD Graphics 620,notebook,2.41,Gen. 9.5 Kaby Lake,2016,353 USD,15 W
801,GeForce GT 645M,notebook,2.39,Kepler,2012,310 USD,32 W
802,GeForce GT 640M,notebook,2.37,Kepler,2012,310 USD,32 W
803,GRID K220Q,workstation,2.35,Kepler,2014,−,225 W
804,Radeon HD 4770,desktop,2.34,TeraScale,2009,182 USD,80 W
805,Radeon R7 240,desktop,2.34,GCN 1.0,2013,109 USD,30 W
806,Radeon R7 M440,notebook,2.34,GCN 1.0,2016,737 USD,−
807,UHD Graphics 24EUs (Alder Lake-N),notebook,2.34,Gen. 12,−,−,−
808,FirePro W2100,workstation,2.33,GCN,2015,123 USD,26 W
809,Radeon 620,notebook,2.32,GCN 1.0,2019,67 USD,50 W
810,UHD Graphics Xe 16EUs (Tiger Lake-H),notebook,2.27,Gen. 12,2021,−,−
811,Radeon E6760,desktop,2.26,TeraScale 2,2011,90 USD,45 W
