,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
1088,UHD Graphics 600,notebook,0.86,Gen. 9 Gemini Lake,2017,274 USD,5 W
1089,GeForce 8800 GS,desktop,0.85,Tesla,2008,145 USD,105 W
1090,GeForce 9600 GSO 512,desktop,0.85,Tesla,2008,75 USD,90 W
1091,Radeon HD 7450M,notebook,0.85,Terascale 2,2012,338 USD,7 W
1092,Radeon R4 (Kaveri),notebook,0.85,GCN 1.1,2014,−,−
1093,Radeon HD 7600G,notebook,0.84,Terascale 3,2012,338 USD,19 W
1094,GeForce 9600 GSO,desktop,0.84,Tesla,2008,75 USD,84 W
1095,Radeon R3 (Mullins/Beema),notebook,0.84,GCN 1.1,2014,−,−
1096,Radeon E6460,desktop,0.83,TeraScale 2,2011,150 USD,25 W
1097,GeForce GT 230,desktop,0.83,Tesla,2009,123 USD,75 W
1098,HD Graphics (Haswell),notebook,0.83,Gen. 7.5 Haswell,2012,273 USD,−
1099,Radeon HD 7520G,notebook,0.81,Terascale 3,2012,90 USD,35 W
1100,Mobility Radeon HD 560v,notebook,0.80,Terascale 1,2010,56 USD,15 W
1101,Radeon HD 7420G,notebook,0.80,Terascale 3,2012,338 USD,35 W
1102,GeForce GT 520,desktop,0.80,Fermi 2.0,2011,88 USD,29 W
1103,Radeon HD 7500G,notebook,0.79,Terascale 3,2012,338 USD,17 W
1104,GeForce GT 610,desktop,0.79,Fermi 2.0,2012,98 USD,29 W
1105,Quadro FX 3500M,mobile workstation,0.79,G7x,2007,69 USD,45 W
1106,Radeon HD 8350G,notebook,0.78,Terascale 3,2013,338 USD,35 W
1107,Cedar,desktop,0.78,TeraScale 2,−,14 USD,−
1108,GeForce 8700M GT SLI,notebook,0.78,G8x,2007,545 USD,58 W
1109,Radeon HD 6520G,notebook,0.77,Terascale 2,2011,338 USD,35 W
1110,Mobility Radeon HD 550v,notebook,0.77,Terascale 1,2010,56 USD,10 W
1111,GRID K120Q,workstation,0.76,Kepler,2014,−,130 W
1112,Radeon HD 2900 GT,desktop,0.75,TeraScale,2007,−,150 W
1113,GeForce 610M,notebook,0.75,Fermi,2011,55 USD,12 W
1114,GeForce 7800 GTX,desktop,0.75,Curie,2005,176 USD,86 W
1115,HD Graphics 500,notebook,0.74,Gen. 9 Apollo Lake,2016,414 USD,6 W
1116,Radeon HD 7450A,desktop,0.74,TeraScale 2,2012,13 USD,25 W
1117,GeForce GT 415M,notebook,0.74,Fermi,2010,310 USD,12 W
1118,Radeon HD 2600 XT,desktop,0.73,TeraScale,2007,144 USD,45 W
1119,GeForce GT 520MX,notebook,0.73,Fermi,2011,3 USD,20 W
1120,GeForce GT 520M,notebook,0.72,Fermi,2011,237 USD,17 W
1121,HD Graphics 405,notebook,0.72,Gen. 8,2016,254 USD,6 W
1122,GeForce 9700M GTS,notebook,0.72,G9x,2008,230 USD,60 W
1123,Radeon HD 7480D,desktop,0.72,Terascale 3,2012,215 USD,65 W
1124,NVS 4200M,mobile workstation,0.71,Fermi,2011,229 USD,25 W
1125,Radeon HD 6370M,notebook,0.71,Terascale 2,2010,338 USD,11 W
1126,Radeon HD 8400E,desktop,0.71,GCN 2.0,2013,293 USD,25 W
1127,GeForce Go 7900 GTX,notebook,0.70,G7x,2006,535 USD,45 W
1128,GeForce 9650M GS,notebook,0.70,G8x,2008,180 USD,29 W
1129,Radeon HD 5470,desktop,0.69,TeraScale 2,2012,73 USD,19 W
1130,Radeon HD 7400G,notebook,0.69,Terascale 3,2012,338 USD,17 W
1131,Radeon HD 8330E,desktop,0.69,GCN 2.0,2013,142 USD,15 W
1132,GeForce Go 7950 GTX,notebook,0.68,G7x,2006,−,45 W
1133,HD Graphics 2500,notebook,0.68,Gen. 7 Ivy Bridge,2012,521 USD,−
