,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
8,Intel Core i5-11500,57,108,96.1,87.5,859,0.04,37,158,2021-03-31 18:42:51.754560,Q1,2021,Q1 2021
9,Intel Core i5-12500,57,103,99.2,80.8,992,0.07,27,209,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
10,AMD Ryzen 5 5500,57,0,86.2,76.4,824,0.35,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
11,Intel Core i9-11900KF,57,0,104,86.8,1132,0.23,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
12,AMD Phenom II X4 965,56,0,52.6,76.9,171,0.01,181,,2009-06-02 18:42:51.754560,Q2,2009,Q2 2009
13,Intel Core i9-9900KS,56,0,98.8,92.8,1016,0.03,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
14,AMD Ryzen 7 4700U,56,0,75.2,64.8,721,0.01,48,,2020-05-05 18:42:51.754560,Q2,2020,Q2 2020
15,AMD Ryzen 5 3500,56,0,80.9,72.3,640,0.04,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
16,Intel Core i7-3630QM,56,0,60.8,76.8,353,0.05,147,,2012-03-18 18:42:51.754560,Q1,2012,Q1 2012
17,AMD Ryzen 5 2500X,56,0,72.6,76.9,577,0,67,,2018-10-13 18:42:51.754560,Q4,2018,Q4 2018
18,Intel Core i5-1035G1,56,0,51.1,55.1,345,0.26,55,,2019-10-08 18:42:51.754560,Q4,2019,Q4 2019
19,AMD Ryzen 9 4900HS,56,0,71.5,70.2,667,0.01,48,,2020-05-05 18:42:51.754560,Q2,2020,Q2 2020
20,Intel Core i5-10300H,56,0,74.3,82.3,522,0.54,50,,2020-03-06 18:42:51.754560,Q1,2020,Q1 2020
21,AMD Ryzen 7 6800H,56,0,78.3,71.8,794,0.06,25,,2022-03-26 18:42:51.754560,Q1,2022,Q1 2022
22,Intel Core i5-8250U,56,0,53.1,63.6,315,0.43,79,,2017-10-18 18:42:51.754560,Q4,2017,Q4 2017
23,Intel Core i7-12700H,56,0,97,71.5,1079,0.78,27,,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
24,AMD Ryzen 3 3200U,56,0,40.7,51.5,180,0.01,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
25,AMD Ryzen 9 5900HX,56,0,78.2,73.4,738,0.07,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
26,AMD Ryzen 7 3750H,56,0,54.1,57.9,427,0.03,59,,2019-06-10 18:42:51.754560,Q2,2019,Q2 2019
27,Intel Core i7-1165G7,56,0,66.2,64,506,0.41,45,,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
28,Intel Core i5-10210U,56,0,53.4,61,338,0.25,58,,2019-07-10 18:42:51.754560,Q3,2019,Q3 2019
29,Intel Core i5-11400H,56,0,80.1,66.1,786,0.59,34,,2021-06-29 18:42:51.754560,Q2,2021,Q2 2021
30,Intel Core i5-3570,56,0,65.1,80.9,304,0.16,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
31,Intel Core i5-12500H,56,0,94,69.4,978,0.34,25,,2022-03-26 18:42:51.754560,Q1,2022,Q1 2022
32,Intel Core i3-10105F,56,0,82.2,88.8,606,0.18,37,,2021-03-31 18:42:51.754560,Q1,2021,Q1 2021
33,Intel Core i7-8565U,56,0,54.7,66.3,320,0.18,66,,2018-11-12 18:42:51.754560,Q4,2018,Q4 2018
34,AMD FX-9590,56,0,63.1,81.4,390,0,129,,2013-09-09 18:42:51.754560,Q3,2013,Q3 2013
35,Intel Core i5-3470,56,0,63.1,79.6,285,0.4,144,,2012-06-16 18:42:51.754560,Q2,2012,Q2 2012
36,Intel Core2 Quad Q9550,56,0,48.9,71.7,158,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
37,Intel Core2 Quad Q6600,56,56.2,41.6,65.3,109,0.02,207,80,2007-04-14 18:42:51.754560,Q2,2007,Q2 2007
38,AMD FX-8320,56,0,58.5,80.5,306,0.03,138,,2012-12-13 18:42:51.754560,Q4,2012,Q4 2012
39,Intel Core i7-5960X,56,0,80.5,87,718,0.03,116,,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
40,Intel Core i5-4570,56,0,62.4,76.5,295,0.34,132,,2013-06-11 18:42:51.754560,Q2,2013,Q2 2013
41,Intel Pentium G3258,56,0,52.6,77.4,167,0,119,,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
42,Intel Core i9-7980XE,56,0,80.1,77.3,875,0,78,,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
43,AMD Ryzen 5 3600XT,56,0,84.8,77.4,821,0.03,45,,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
44,Intel Core i9-10900KF,56,0,99.5,91.8,1089,0.14,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
45,Intel Core i9-10850K,56,76,98.9,92,1076,0.42,44,621,2020-09-02 18:42:51.754560,Q3,2020,Q3 2020
46,Intel Core i7-10700,56,0,92.6,88.4,899,0.53,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
47,Intel Core i7-12700KF,56,108,114,80.3,1439,0.71,29,289,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
48,Intel Core i5-12600KF,56,116,109,80.3,1225,0.62,29,189,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
49,Intel Core i9-11900,56,0,99.9,84.9,1048,0.05,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
50,Intel Core i9-11900F,56,95.8,100,85.5,1047,0.04,37,279,2021-03-31 18:42:51.754560,Q1,2021,Q1 2021
1,Intel Core i9-14900KF,56,102,131,84,1782,0.5,5,596,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
2,Intel Core i7-4700MQ,55,0,58.6,72.9,349,0.06,133,,2013-05-12 18:42:51.754560,Q2,2013,Q2 2013
3,Intel Core i7-2670QM,55,0,56.3,76.2,279,0.01,151,,2011-11-19 18:42:51.754560,Q4,2011,Q4 2011
4,AMD Ryzen 3 3300U,55,0,54.5,54,322,0,57,,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
5,AMD Ryzen 3 4300U,55,0,68,62.2,438,0,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
6,AMD Ryzen 9 5900HS,55,0,75.9,68.1,739,0.04,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
